Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Rain Intensity_log,Interval Rain_log,Total Rain_log,Wind Direction_log,Maximum Wind Speed_log,Solar Radiation_log,gust_factor,barometric_pressure_rolling_7h,barometric_pressure_rolling_12h,humidity_rolling_12h,humidity_rolling_24h
26.0,14.8,60,0.0,0.0,7.3,0,204,5.8,6.3,990.5,1,352.0,15.1,0.0,0.0,2.1162555148025524,5.3230099791384085,1.9878743481543455,0.6931471805599453,2.1724137931034484,-0.3999999999999772,-3.7000000000000455,-21.0,-14.0
24.0,14.8,70,0.0,0.0,7.3,0,167,1.6,2.7,991.2,0,352.0,15.1,0.0,0.0,2.1162555148025524,5.123963979403259,1.308332819650179,0.0,0.9310344827586208,1.0,-3.0,-11.0,-3.0
23.28,8.5,72,0.0,0.0,1.5,0,213,4.1,4.3,991.2,0,351.0,15.1,0.0,0.0,0.9162907318741552,5.365976015021851,1.667706820558076,0.0,1.4827586206896552,1.400000000000091,0.3000000000000682,-6.0,-2.0
22.89,14.8,70,0.0,0.0,7.3,0,220,2.1,2.8,991.2,1,352.0,15.1,0.0,0.0,2.1162555148025524,5.3981627015177525,1.33500106673234,0.6931471805599453,0.9655172413793104,1.0,0.3000000000000682,-8.0,4.0
22.28,14.8,73,0.0,0.0,7.3,0,264,2.5,2.7,991.2,1,352.0,15.1,0.0,0.0,2.1162555148025524,5.579729825986222,1.308332819650179,0.6931471805599453,0.9310344827586208,0.7000000000000455,0.3000000000000682,-5.0,12.0
21.78,14.8,77,0.0,0.0,7.3,0,217,3.5,4.0,991.2,0,352.0,15.1,0.0,0.0,2.1162555148025524,5.384495062789089,1.6094379124341005,0.0,1.3793103448275863,0.7000000000000455,0.3000000000000682,-1.0,13.0
21.28,14.8,79,0.0,0.0,7.3,0,266,1.7,2.0,990.9,0,352.0,15.1,0.0,0.0,2.1162555148025524,5.58724865840025,1.0986122886681098,0.0,0.6896551724137931,-0.3000000000000682,0.6999999999999318,23.0,9.0
21.17,14.8,80,0.0,0.0,7.3,0,230,0.5,0.9,991.2,0,352.0,15.1,0.0,0.0,2.1162555148025524,5.442417710521793,0.6418538861723948,0.0,0.3103448275862069,0.0,1.400000000000091,26.0,-3.0
21.06,14.8,82,0.0,0.0,7.3,0,196,0.9,1.3,992.2,5,352.0,15.1,0.0,0.0,2.1162555148025524,5.2832037287379885,0.832909122935104,1.791759469228055,0.4482758620689655,1.0,2.0,26.0,-2.0
20.67,14.8,85,0.0,0.28,7.3,0,267,2.5,2.7,992.2,54,352.0,15.1,0.0,0.2468600779315258,2.1162555148025524,5.5909869805108565,1.308332819650179,4.007333185232471,0.9310344827586208,1.0,1.7000000000000457,33.0,4.0
20.67,14.8,84,0.0,0.15,7.3,0,331,0.3,0.7,992.6,107,352.0,15.1,0.0,0.1397619423751586,2.1162555148025524,5.805134968916488,0.5306282510621704,4.68213122712422,0.2413793103448275,1.3999999999999773,2.1000000000000227,24.0,3.0
19.17,14.8,83,0.0,0.05,7.3,0,352,1.7,1.9,992.9,42,352.0,15.1,0.0,0.048790164169432,2.1162555148025524,5.8664680569332965,1.0647107369924282,3.7612001156935624,0.6551724137931034,1.6999999999999318,1.6999999999999318,13.0,2.0
11.89,14.8,89,0.0,0.23,7.3,0,347,3.5,3.9,993.2,31,352.0,15.1,0.0,0.2070141693843261,2.1162555148025524,5.8522024797744745,1.589235205116581,3.4657359027997265,1.3448275862068966,2.300000000000068,2.0,19.0,8.0
10.67,14.8,90,0.0,0.63,7.3,0,346,3.2,3.9,994.2,112,352.0,15.1,0.0,0.4885800148186709,2.1162555148025524,5.849324779946859,1.589235205116581,4.727387818712341,1.3448275862068966,3.0,3.0,18.0,9.0
11.9,11.4,94,0.0,0.7,11.5,2,4,4.3,6.5,994.9,90,359.0,12.1,0.0,0.5306282510621704,2.5257286443082556,1.6094379124341005,2.0149030205422647,4.51085950651685,2.241379310344828,3.699999999999932,3.699999999999932,22.0,13.0
10.9,10.4,94,0.0,0.3,11.8,0,4,5.5,7.9,995.1,151,359.0,12.1,0.0,0.262364264467491,2.549445170925571,1.6094379124341005,2.186051276738094,5.0238805208462765,2.724137931034483,2.8999999999999773,3.8999999999999777,24.0,16.0
10.0,8.5,90,0.0,0.56,1.5,0,351,3.5,4.3,994.2,232,351.0,15.2,0.0,0.4446858212614457,0.9162907318741552,5.863631175598097,1.667706820558076,5.4510384535657,1.4827586206896552,2.0,3.0,20.0,12.0
9.17,8.5,90,0.0,0.0,1.5,0,347,4.3,4.9,994.6,150,351.0,15.2,0.0,0.0,0.9162907318741552,5.8522024797744745,1.7749523509116738,5.017279836814924,1.6896551724137934,2.3999999999999773,3.3999999999999773,17.0,12.0
6.28,8.5,88,0.0,0.0,1.5,0,349,4.5,5.2,998.0,16,351.0,15.2,0.0,0.0,0.9162907318741552,5.857933154483459,1.824549292051046,2.833213344056216,1.793103448275862,0.0,0.0,0.0,4.0
